James Horner%Avatar
Hans Zimmer%The Holiday
Trevor Rabin%Enemy of the State
Harry Gregson-Williams%Enemy of the State
Hans Zimmer%It's Complicated
Heitor Pereira%It's Complicated
David Holmes%Ocean's Thirteen
James Horner%Enemy at the Gates
Harry Gregson-Williams%The Rundown
Michael Kamen%Last Action Hero
John Williams%Memoirs of a Geisha
Harry Gregson-Williams%Arthur Christmas
Thomas Newman%Meet Joe Black
Graeme Revell%Collateral Damage
Ralph Burns%All That Jazz
Alan Menken%Mirror Mirror
Christopher Young%The Core
David Newman%Scooby-Doo
Paul Leonard-Morgan%Dredd
Rupert Gregson-Williams%Click
John Harrison%Creepshow
Danny Elfman%Hellboy II: The Golden Army
John Debney%Bruce Almighty
Brian Tyler%The Expendables
Danny Elfman%Mission: Impossible
James Newton Howard%The Hunger Games
Danny Elfman%Batman Returns
Alan Silvestri%Lilo & Stitch
James Horner%Deep Impact
Teddy Castellucci%The Longest Yard
Rupert Gregson-Williams%Grown Ups 2
Trevor Rabin%Get Smart
Alex Wurman%Four Christmases
John Powell%Robots
John Powell%Face/Off
Thomas Newman%Road to Perdition
Rupert Gregson-Williams%Just Go with It
Trevor Rabin%Con Air
Mark Mancina%Con Air
Brian Tyler%Eagle Eye
Atticus Ross%The Book of Eli
Claudia Sarne%The Book of Eli
Leopold Ross%The Book of Eli
Jerry Goldsmith%The Haunting
James Newton Howard%Space Jam
Christophe Beck%The Pink Panther
Carter Burwell%Conspiracy Theory
Steven Price%Fury
Hans Zimmer%Spirit: Stallion of the Cimarron
Bruce Broughton%Lost in Space
Klaus Badelt%The Time Machine
James Horner%Mighty Joe Young
Christopher Young%Swordfish
Dario Marianelli%The Brothers Grimm
Danny Elfman%Mars Attacks!
Jerry Goldsmith%The Edge
James Newton Howard%The Postman
Graeme Revell%Red Planet
Eric Serra%Arthur and the Invisibles
Nick Glennie-Smith%A Sound of Thunder
Clinton Shorter%Pompeii
James Horner%A Beautiful Mind
Hans Zimmer%The Lion King
Andrew Lockington%Journey 2: The Mysterious Island
John Powell%Cloudy with a Chance of Meatballs 2
Danny Elfman%Red Dragon
James Newton Howard%Hidalgo
David Arnold%2 Fast 2 Furious
Trevor Jones%The League of Extraordinary Gentlemen
Heitor Pereira%Despicable Me 2
David Arnold%Independence Day
John Williams%The Lost World: Jurassic Park
Danny Elfman%Wanted
Hans Zimmer%The Rock
Nick Glennie-Smith%The Rock
John Powell%Ice Age: The Meltdown
Teddy Castellucci%50 First Dates
Trevor Rabin%Exorcist: The Beginning
Brian Tyler%Now You See Me
John Williams%The Terminal
James Newton Howard%Charlie Wilson's War
Hans Zimmer%Shark Tale
Henry Krieger%Dreamgirls
John Powell%Be Cool
John Williams%Munich
Daniel Pemberton%The Man from U.N.C.L.E.
Hans Zimmer%Spanglish
Douglas Pipes%Monster House
Christopher Young%Bandits
Jerry Goldsmith%First Knight
Trevor Morris%Immortals
Alexandre Desplat%Hostage
Graeme Revell%Titan A.E.
Tim Simonec%Titan A.E.
Alex Wurman%Hollywood Homicide
Anne Dudley%Monkeybone
Marco Beltrami%Flight of the Phoenix
James Newton Howard%Unbreakable
Heitor Pereira%Minions
Tyler Bates%Sucker Punch
Marius De Vries%Sucker Punch
Elliot Goldenthal%Sphere
George Fenton%Fool's Gold
Danny Elfman%The Kingdom
Alex Wurman%Talladega Nights: The Ballad of Ricky Bobby
David Newman%Dr. Dolittle 2
James Horner%Braveheart
Thomas Newman%Jarhead
Jim Morrison%Jarhead
Hans Zimmer%The Simpsons Movie
Mark Isham%The Majestic
BT%Driven
Stephen Warbeck%Two Brothers
James Newton Howard%The Village
Richard Gibbs%Doctor Dolittle
James Newton Howard%Signs
Harry Gregson-Williams%Shrek 2
Randy Newman%Cars
James Newton Howard%Runaway Bride
Randy Edelman%xXx
James Horner%Ransom
Michael Kamen%Die Hard 2
Elliot Goldenthal%S.W.A.T.
Nancy Wilson%Vanilla Sky
James Newton Howard%Lady in the Water
David Newman%Alvin and the Chipmunks: The Squeakquel
Nick Glennie-Smith%We Were Soldiers
Trevor Morris%Olympus Has Fallen
Jerry Goldsmith%Star Trek: Insurrection
Ennio Morricone%Wolf
John Williams%War Horse
Alexandre Desplat%The Monuments Men
Alan Silvestri%The Abyss
Brian Eno%Wall Street: Money Never Sleeps
Ramin Djawadi%Dracula Untold
Graeme Revell%The Siege
John Williams%Seven Years in Tibet
Clint Mansell%Doom
Richard Gibbs%I Spy
Paul Haslinger%Underworld: Awakening
Johnny Klimek%Killer Elite
Reinhold Heil%Killer Elite
Don Davis%Ballistic: Ecks vs. Sever
Christopher Young%Hard Rain
Randy Edelman%Osmosis Jones
Harry Gregson-Williams%Blackhat
Atticus Ross%Blackhat
Leopold Ross%Blackhat
Ed Shearmur%Sky Captain and the World of Tomorrow
John Murphy%Basic Instinct 2
Alex Heffes%Escape Plan
Tuomas Kantelinen%The Legend of Hercules
Jerry Goldsmith%The Sum of All Fears
Howard Shore%The Twilight Saga: Eclipse
Howard Shore%The Score
Heitor Pereira%Despicable Me
Pharrell Williams%Despicable Me
Mark Mancina%Money Train
Walter Murphy%Ted 2
Stephen Warbeck%Mystery Men
Lisa Gerrard%The Insider
Pieter Bourke%The Insider
Christopher Young%Entrapment
Mark Snow%The X Files
John Williams%Saving Private Ryan
Nathan Furst%Need for Speed
Alan Silvestri%What Women Want
John Williams%Lincoln
Don Davis%The Matrix
Claude-Michel Schönberg%Les Misérables
George Fenton%You've Got Mail
James Horner%The Mask of Zorro
Christophe Beck%Due Date
Lennie Niehaus%Space Cowboys
Hans Zimmer%Broken Arrow
Jason White%The Kid
Craig Armstrong%World Trade Center
Rachel Portman%Mona Lisa Smile
Erran Baron Cohen%The Dictator
Jocelyn Pook%Eyes Wide Shut
Greg Kurstin%Annie
Nick Urata%Focus
RZA%Blade: Trinity
Ramin Djawadi%Blade: Trinity
Basil Poledouris%Red Dawn
Ry Cooder%Primary Colors
tomandandy%Resident Evil: Retribution
Alan Silvestri%The Long Kiss Goodnight
Danny Elfman%Proof of Life
John King%Fight Club
Michael Simpson%Fight Club
Christophe Beck%We Are Marshall
George Fenton%Lucky Numbers
Johnny Klimek%I, Frankenstein
Reinhold Heil%I, Frankenstein
Rachel Portman%Oliver Twist
Christophe Beck%Elektra
Robert Rodriguez%Sin City: A Dame to Kill For
Carl Thiel%Sin City: A Dame to Kill For
Dave Grusin%Random Hearts
Dario Marianelli%Everest
Tom Tykwer%Perfume: The Story of a Murderer
Johnny Klimek%Perfume: The Story of a Murderer
Reinhold Heil%Perfume: The Story of a Murderer
John Williams%Jurassic Park
James Newton Howard%Wyatt Earp
James Horner%Clear and Present Danger
Richard Marvin%U-571
Theodore Shapiro%Blades of Glory
Christopher Lennertz%Hop
Tyler Bates%300
Randy Newman%Meet the Fockers
Thomas Newman%The Green Mile
Teddy Castellucci%Wild Hogs
John Debney%Chicken Little
Trent Reznor%Gone Girl
Atticus Ross%Gone Girl
John Powell%The Bourne Identity
Eric Serra%GoldenEye
Burkhard von Dallwitz%The Truman Show
Hans Zimmer%The Prince of Egypt
David Newman%Daddy Day Care
Clinton Shorter%2 Guns
John Debney%Cats & Dogs
John Powell%Two Weeks Notice
Hans Zimmer%Days of Thunder
Dario Marianelli%Eat Pray Love
Christophe Beck%RED
Richard Horowitz%Any Given Sunday
Paul Kelly%Any Given Sunday
Thomas Newman%The Horse Whisperer
Allison Moorer%The Horse Whisperer
Gwil Owen%The Horse Whisperer
Liz Phair%The Horse Whisperer
James Newton Howard%Collateral
William Ross%Ladder 49
Joe Kraemer%Jack Reacher
Trevor Rabin%Deep Blue Sea
Trevor Rabin%Kangaroo Jack
James Newton Howard%The Happening
Alan Menken%The Shaggy Dog
Theodore Shapiro%Starsky & Hutch
David Newman%Jingle All the Way
Marco Beltrami%Hellboy
Danny Elfman%A Civil Action
Carter Burwell%The Jackal
John Powell%Paycheck
David Campbell%Joy
West Dylan Thordson%Joy
Alan Silvestri%Practical Magic
Mark Mothersbaugh%The Lego Movie
Ed Shearmur%Reign of Fire
Steve Jablonsky%Gangster Squad
Kyle Eastwood%Invictus
Michael Stevens%Invictus
Alex Heffes%State of Play
James Seymour Brett%Planet 51
Carter Burwell%Intolerable Cruelty
Marco Beltrami%Trouble with the Curve
John Debney%The Relic
Dario Marianelli%The Soloist
Christophe Beck%Garfield: A Tail of Two Kitties
Marco Beltrami%xXx: State of the Union
Harry Gregson-Williams%Sinbad: Legend of the Seven Seas
Michael Kamen%Event Horizon
John Debney%Dragonfly
Mark Isham%The Black Dahlia
Trevor Rabin%Flyboys
Jerry Goldsmith%The Last Castle
Tom Waits%The Last Castle
Hans Zimmer%Winter's Tale
Rupert Gregson-Williams%Winter's Tale
John Debney%Meet Dave
Angelo Badalamenti%Dark Water
Randy Edelman%Edtv
David Newman%The Spirit
James Horner%Beyond Borders
Alan Silvestri%Holy Man
Danny Elfman%Goosebumps
David Newman%The Flintstones in Viva Rock Vegas
Jerry Goldsmith%Rambo III
Randy Newman%Leatherheads
Rupert Gregson-Williams%The Ridiculous 6
Elmo Weber%The Ridiculous 6
Theodore Shapiro%Did You Hear About the Morgans?
Christophe Beck%The Internship
tomandandy%Resident Evil: Afterlife
James Newton Howard%The Devil's Advocate
Rupert Gregson-Williams%That's My Boy
Randy Edelman%DragonHeart
Lalo Schifrin%After the Sunset
David Sardy%Ghost Rider: Spirit of Vengeance
Stephen Warbeck%Captain Corelli's Mandolin
Graeme Revell%Walking Tall
Alan Silvestri%Forrest Gump
Christopher Lennertz%Alvin and the Chipmunks
Randy Newman%Meet the Parents
Alan Menken%Pocahontas
John Williams%Superman
George Fenton%Hitch
Marc Shaiman%George of the Jungle
Christophe Beck%American Wedding
Henry Jackman%Captain Phillips
Christophe Beck%Date Night
James Horner%Casper
Harry Gregson-Williams%The Equalizer
Alan Silvestri%Maid in Manhattan
Hans Zimmer%Crimson Tide
Andrea Guerra%The Pursuit of Happyness
James Horner%Flightplan
Gabriel Yared%City of Angels
RZA%Kill Bill: Vol. 1
David Newman%Bowfinger
Robert Rodriguez%Kill Bill: Vol. 2
RZA%Kill Bill: Vol. 2
Harold Faltermeyer%Tango & Cash
Alan Silvestri%Death Becomes Her
Randy Edelman%Shanghai Noon
Jerry Goldsmith%Executive Decision
Elliot Goldenthal%Alien³
Elia Cmiral%Ronin
Jerry Goldsmith%The Ghost and the Darkness
Christophe Beck%The Watch
Brian Tyler%The Hunted
Michael Andrews%Stuck on You
Charlie Gartner%Stuck on You
Jerry Goldsmith%Chain Reaction
Hans Zimmer%The Fan
Graeme Revell%Æon Flux
Shirley Walker%Turbulence
Mark Mancina%Imagine That
Hans Zimmer%Thunderbirds
Ramin Djawadi%Thunderbirds
Christophe Beck%Burlesque
Angelo Badalamenti%A Very Long Engagement
John Powell%D-Tox
Angelo Milli%Seven Pounds
Steve Mazzaro%Bullet to the Head
Carmine Coppola%The Godfather: Part III
Nancy Wilson%Elizabethtown
Theodore Shapiro%You, Me and Dupree
Ken Thorne%Superman II
John Powell%Gigli
James Horner%All the King's Men
David Arnold%Shaft
Isaac Hayes%Shaft
David Newman%Anastasia
Craig Armstrong%Moulin Rouge!
Mark Mancina%Domestic Disturbance
Junkie XL%Black Mass
Brian Tyler%Law Abiding Citizen
Alexandre Desplat%Zero Dark Thirty
Nathan Barr%The Dukes of Hazzard
Hans Zimmer%The Thin Red Line
Michael Stipe%Man on the Moon
Mike Mills%Man on the Moon
John Debney%Barnyard
George S. Clinton%Deck the Halls
Alexandre Desplat%The Twilight Saga: New Moon
Harry Gregson-Williams%Shrek
John Powell%Shrek
Thomas Newman%The Adjustment Bureau
Michael Kamen%Robin Hood: Prince of Thieves
Marc Shaiman%Patch Adams
Andrew Feltenstein%Anchorman 2: The Legend Continues
John Nau%Anchorman 2: The Legend Continues
Teddy Castellucci%Mr. Deeds
Michael Giacchino%Super 8
Thomas Newman%Erin Brockovich
Elliot Goldenthal%Interview with the Vampire
Lyle Workman%Yes Man
Mark Oliver Everett%Yes Man
Michael Andrews%Daddy's Home
Terence Blanchard%Inside Man
Chris Boardman%Payback
Jerry Goldsmith%Congo
Marco Beltrami%Knowing
Rolfe Kent%Failure to Launch
Henning Lohner%The Ring Two
Martin Tillman%The Ring Two
Christophe Beck%Crazy, Stupid, Love.
Nick Urata%Crazy, Stupid, Love.
Tim Boland%Garfield
Christophe Beck%Garfield
Mychael Danna%Moneyball
James Newton Howard%Outbreak
John Ottman%Non-Stop
Dario Marianelli%V for Vendetta
Randy Edelman%Shanghai Knights
Heitor Pereira%Curious George
Mark Mothersbaugh%Herbie Fully Loaded
The Blacksmoke Organisation%Herbie Fully Loaded
Mark Isham%Don't Say a Word
Atli Örvarsson%Hansel & Gretel: Witch Hunters
Trevor Rabin%I Am Number Four
Alexandre Desplat%Syriana
Lorne Balfe%13 Hours: The Secret Soldiers of Benghazi
Gustavo Santaolalla%The Book of Life
Alexandre Desplat%Firewall
Clint Eastwood%Absolute Power
Lennie Niehaus%Absolute Power
Howard Shore%The Game
John Debney%The Replacements
Lyle Workman%American Reunion
Thomas Newman%The Judge
Hans Zimmer%The Peacemaker
Jeff Danna%Resident Evil: Apocalypse
Harry Gregson-Williams%Bridget Jones: The Edge of Reason
Stuart Roslyn%Bridget Jones: The Edge of Reason
Graeme Revell%Out of Time
Angelo Badalamenti%The Beach
Howard Shore%Striptease
Christopher Lennertz%Marmaduke
Clint Mansell%Murder by Numbers
Shigeru Umebayashi%Hannibal Rising
Ilan Eshkeri%Hannibal Rising
Eric Clapton%The Story of Us
Marc Shaiman%The Story of Us
Klaus Badelt%Basic
Lennie Niehaus%Blood Work
John Carpenter%Escape from L.A.
Shirley Walker%Escape from L.A.
Michael Kamen%The Iron Giant
Alex Parker%The Life of David Gale
Jake Parker%The Life of David Gale
Alan Silvestri%Run All Night
Howard Shore%Eastern Promises
John Barry%The Scarlet Letter
David Newman%Death to Smoochy
George S. Clinton%The Big Bounce
Stephen Endelman%Street Fighter: The Legend of Chun-Li
Trevor Rabin%The One
Boris Blank%The Adventures of Ford Fairlane
John Williams%Indiana Jones and the Last Crusade
Hans Zimmer%Chappie
Craig Armstrong%The Bone Collector
Carter Burwell%Three Kings
John Powell%Rat Race
Ed Shearmur%K-PAX
Rolfe Kent%Kate & Leopold
David Newman%Bedazzled
Nathaniel Méchaly%Taken 3
David Holmes%Out of Sight
A. R. Rahman%Earth
Alan Silvestri%Dick Tracy
Bill Conti%The Thomas Crown Affair
Hans Zimmer%Riding in Cars with Boys
Jerry Goldsmith%First Blood
Vyacheslav Ovchinnikov%Solaris
Eduard Artemev%Solaris
James Newton Howard%My Best Friend's Wedding
James Newton Howard%America's Sweethearts
David Julyan%Insomnia
Marco Beltrami%Jonah Hex
Mastodon%Jonah Hex
James Horner%Courage Under Fire
John Debney%Liar Liar
Chris Hajian%The Infiltrator
Jerry Goldsmith%Inchon
Nathaniel Méchaly%Taken 2
Ed Shearmur%Miss Congeniality
Andrew Lockington%Journey to the Center of the Earth
James Horner%The Pelican Brief
Howard Shore%The Client
James Horner%Patriot Games
David Newman%Monster-in-Law
Rosey%Monster-in-Law
Mark Mancina%Training Day
David Newman%Galaxy Quest
Mark McGrath%Scary Movie 2
Mark Isham%Blade
Trevor Rabin%Coach Carter
David Arnold%Changing Lanes
Randy Edelman%Anaconda
Trevor Horn%Coyote Ugly
Craig Armstrong%Love Actually
Trevor Jones%From Hell
John Barry%The Specialist
Mark Isham%Kicking & Screaming
Joby Talbot%The Hitchhiker's Guide to the Galaxy
Richard Gibbs%Fat Albert
Jared Lee Gosselin%Fat Albert
Charlie Clouser%Resident Evil: Extinction
Randy Edelman%The Indian in the Cupboard
Adam Peters%Savages
Ed Shearmur%Johnny English
John Debney%The Ant Bully
Toto%Dune
Klaus Badelt%16 Blocks
Trevor Rabin%The Glimmer Man
George Fenton%Multiplicity
Klaus Badelt%The Pledge
Hans Zimmer%The Pledge
Glen Kelly%The Producers
John Williams%Nixon
Alexandre Desplat%The Ghost Writer
Jerry Goldsmith%Deep Rising
Shigeru Umebayashi%Curse of the Golden Flower
James Newton Howard%Big Trouble
Antonio Pinto%Love in the Time of Cholera
James Newton Howard%The Fugitive
Jerry Goldsmith%Rambo: First Blood Part II
James Newton Howard%The Juror
Paul J. Smith%Pinocchio
Leigh Harline%Pinocchio
David Mansfield%Heaven's Gate
Marco Beltrami%Underworld: Evolution
Massive Attack%Unleashed
Mark Isham%The Mechanic
Mark Mothersbaugh%21 Jump Street
Trevor Jones%Notting Hill
Harry Gregson-Williams%Chicken Run
John Powell%Chicken Run
Theodore Shapiro%Along Came Polly
Michael Andrews%The Heat
Alex North%Cleopatra
Rupert Gregson-Williams%Here Comes the Boom
Michael Kamen%Licence to Kill
Anthony Marinelli%15 Minutes
J. Peter Robinson%15 Minutes
Alan Silvestri%Super Mario Bros.
Antonio Pinto%Lord of War
Dun Tan%Hero
Henry Jackman%The Interview
Raphaël Beau%Micmacs
Carter Burwell%A Knight's Tale
Adrian Lee%The Medallion
James Newton Howard%The Sixth Sense
Henry Jackman%Man on a Ledge
Bill Conti%The Karate Kid
Danny Elfman%American Hustle
Aaron Zigman%The Proposal
Eric Serra%Lucy
Danny Elfman%Fifty Shades of Grey
Robert Rodriguez%Spy Kids 3-D: Game Over
Rebecca Rodriguez%Spy Kids 3-D: Game Over
Elliot Goldenthal%A Time to Kill
Christophe Beck%Cheaper by the Dozen
Steve Jablonsky%Lone Survivor
Explosions in the Sky%Lone Survivor
Hans Zimmer%A League of Their Own
James L. Venable%Scary Movie 4
Marco Beltrami%Scream 3
Alan Silvestri%Back to the Future Part III
Christophe Beck%Get Hard
Wojciech Kilar%Dracula
Mark Isham%42
Gabriel Yared%The Talented Mr. Ripley
Craig Armstrong%Ray
Robert Rodriguez%Sin City
John Debney%Sin City
Graeme Revell%Sin City
Atli Örvarsson%Vantage Point
John Williams%JFK
Alan Silvestri%The Mexican
Rolfe Kent%17 Again
Thomas Newman%Bridge of Spies
Don Davis%Behind Enemy Lines
Gabriel Yared%Shall We Dance?
John Altman%Shall We Dance?
